AH00558: apache2: Could not reliably determine the server's fully qualified domain name, using 172.19.0.3. Set the 'ServerName' directive globally to suppress this message
[Thu Sep 09 16:32:27.919080 2021] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.48 (Debian) PHP/7.4.23 configured -- resuming normal operations
[Thu Sep 09 16:32:27.919191 2021] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Thu Sep 09 21:04:11.510516 2021] [php7:warn] [pid 22] [client 172.19.0.1:37372] PHP Warning:  require_once(/var/www/html/wp-content/plugins/includes/charitable-core-functions.php): failed to open stream: No such file or directory in /var/www/html/wp-content/plugins/charitable.php on line 174, referer: http://localhost/wp-admin/plugins.php
[Thu Sep 09 21:04:11.511912 2021] [php7:error] [pid 22] [client 172.19.0.1:37372] PHP Fatal error:  require_once(): Failed opening required '/var/www/html/wp-content/plugins/includes/charitable-core-functions.php' (include_path='.:/usr/local/lib/php') in /var/www/html/wp-content/plugins/charitable.php on line 174, referer: http://localhost/wp-admin/plugins.php
[Thu Sep 09 21:04:11.918458 2021] [php7:warn] [pid 22] [client 172.19.0.1:37372] PHP Warning:  require_once(/var/www/html/wp-content/plugins/includes/charitable-core-functions.php): failed to open stream: No such file or directory in /var/www/html/wp-content/plugins/charitable.php on line 174, referer: http://localhost/wp-admin/plugins.php?plugin=charitable.php
[Thu Sep 09 21:04:11.921515 2021] [php7:error] [pid 22] [client 172.19.0.1:37372] PHP Fatal error:  require_once(): Failed opening required '/var/www/html/wp-content/plugins/includes/charitable-core-functions.php' (include_path='.:/usr/local/lib/php') in /var/www/html/wp-content/plugins/charitable.php on line 174, referer: http://localhost/wp-admin/plugins.php?plugin=charitable.php
[Thu Sep 09 21:04:12.006652 2021] [php7:warn] [pid 22] [client 172.19.0.1:37372] PHP Warning:  require_once(/var/www/html/wp-content/plugins/includes/charitable-core-functions.php): failed to open stream: No such file or directory in /var/www/html/wp-content/plugins/charitable.php on line 174, referer: http://localhost/wp-admin/plugins.php?plugin=charitable.php
[Thu Sep 09 21:04:12.006721 2021] [php7:error] [pid 22] [client 172.19.0.1:37372] PHP Fatal error:  require_once(): Failed opening required '/var/www/html/wp-content/plugins/includes/charitable-core-functions.php' (include_path='.:/usr/local/lib/php') in /var/www/html/wp-content/plugins/charitable.php on line 174, referer: http://localhost/wp-admin/plugins.php?plugin=charitable.php
[Thu Sep 09 21:04:56.784060 2021] [php7:warn] [pid 23] [client 172.19.0.1:37392] PHP Warning:  require_once(/var/www/html/wp-content/plugins/includes/charitable-core-functions.php): failed to open stream: No such file or directory in /var/www/html/wp-content/plugins/charitable.php on line 174, referer: http://localhost/wp-admin/plugins.php?plugin=charitable.php
[Thu Sep 09 21:04:56.784209 2021] [php7:error] [pid 23] [client 172.19.0.1:37392] PHP Fatal error:  require_once(): Failed opening required '/var/www/html/wp-content/plugins/includes/charitable-core-functions.php' (include_path='.:/usr/local/lib/php') in /var/www/html/wp-content/plugins/charitable.php on line 174, referer: http://localhost/wp-admin/plugins.php?plugin=charitable.php
